index,price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
2168,3995,5.0,1800.0,4.0,2.0,1,3,0,0
429,3995,9.0,1800.0,4.0,2.0,1,3,0,0
797,3995,7.0,850.0,1.0,1.0,1,0,0,0
2698,4500,7.0,1700.0,2.0,2.0,2,3,0,0
2313,2800,5.0,780.0,1.0,1.0,1,0,0,3
2311,2800,5.0,790.0,1.0,1.0,1,0,0,0
1045,5300,2.0,1600.0,4.0,2.0,1,0,3,0
1630,3575,8.0,1000.0,2.0,1.0,1,0,0,0
1726,3575,8.0,1000.0,2.0,1.0,1,0,0,0
1940,2195,9.0,450.0,0.0,1.0,0,0,0,0
1375,7746,5.0,2450.0,4.0,3.5,2,3,0,3
1376,7746,5.0,2450.0,4.0,3.5,2,3,0,3
424,2295,8.0,573.0,0.0,1.0,1,2,0,0
869,5400,7.0,1600.0,3.0,2.0,2,0,0,0
546,2680,9.0,591.0,1.0,1.5,2,3,0,3
3029,3466,5.0,551.0,1.0,1.0,2,3,0,0
1088,2595,6.0,627.0,1.0,1.0,2,1,0,0
1454,4200,2.0,1000.0,2.0,2.0,2,0,0,3
1086,1995,6.0,357.0,0.0,1.0,2,1,0,0
2382,3250,6.0,655.0,1.0,1.0,2,3,0,0
2433,2075,6.0,346.0,0.0,1.0,2,1,0,0
1085,2075,6.0,346.0,0.0,1.0,2,1,0,0
2520,2986,9.0,503.0,1.0,1.0,2,3,0,3
627,3190,8.0,840.0,2.0,1.0,1,1,0,0
3073,4950,1.0,2000.0,4.0,2.5,2,0,0,3
601,4495,1.0,1600.0,3.0,2.0,2,0,0,3
385,2998,9.0,585.0,1.0,1.0,2,3,0,3
79,2900,7.0,700.0,1.0,1.0,1,0,0,0
584,1995,6.0,415.0,1.0,1.0,0,1,0,3
2055,4100,5.0,1000.0,2.0,1.0,2,3,0,0
2854,4750,1.0,1500.0,3.0,2.0,1,3,0,2
1047,4536,9.0,914.0,2.0,1.0,2,3,0,3
968,3775,7.0,1000.0,1.0,1.0,1,0,0,3
3075,5695,9.0,1965.0,4.0,2.0,1,1,0,0
2992,4495,9.0,1400.0,4.0,1.0,2,3,0,0
1591,3295,7.0,850.0,1.0,1.0,1,1,0,3
3025,3000,7.0,950.0,1.0,1.0,1,0,0,1
1597,3295,7.0,800.0,1.0,1.0,1,0,0,3
1631,3150,8.0,920.0,1.0,1.0,1,0,0,3
1401,3550,8.0,1200.0,3.0,1.5,2,0,0,0
3032,3450,8.0,950.0,2.0,2.0,1,0,0,3
2525,2850,2.0,800.0,2.0,1.0,0,0,0,3
159,2500,5.0,650.0,1.0,1.0,1,0,0,3
657,3950,8.0,985.0,1.0,1.0,2,0,0,3
1293,4695,10.0,1850.0,4.0,2.5,2,0,3,3
3030,2995,9.0,700.0,1.0,1.0,1,0,0,3
227,7400,7.0,2208.0,5.0,2.0,2,3,0,0
493,2795,8.0,950.0,1.0,1.0,1,3,0,0
1928,7995,7.0,3000.0,2.0,2.0,1,3,0,0
961,2882,8.0,796.0,1.0,1.0,2,3,0,3
106,3800,2.0,1350.0,3.0,2.0,1,0,0,0
1987,2137,8.0,480.0,2.0,1.0,1,3,0,0
2214,2900,7.0,1000.0,2.0,1.0,1,0,0,0
2427,4000,9.0,1700.0,3.0,2.0,2,0,0,3
2580,2350,1.0,525.0,1.0,1.0,1,0,0,3
1284,3500,2.0,1375.0,2.0,2.0,2,0,3,3
2646,1950,8.0,700.0,0.0,1.0,0,0,0,0
1229,2650,8.0,650.0,1.0,1.0,0,1,0,0
965,2450,7.0,700.0,1.0,1.0,1,0,0,0
67,3250,9.0,833.0,2.0,1.0,2,3,0,3
1161,2975,7.0,750.0,2.0,1.0,1,0,0,3
1164,2975,8.0,880.0,2.0,1.0,0,3,0,0
