date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,"Top Floor, Corner 2BR in Nob Hill Blocks From Union Square",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-corner-2br-in/7206479417.html,3200,2,,nob hill,1Ba,['apartment']
Oct  1,Large Studio Overlooking Garden in Inner Richmond! - $1695,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-studio-overlooking/7206534127.html,1695,,,inner richmond,1Ba,"['apartment', 'laundry on site', 'no smoking']"
Oct  1,Stunning Penthouse Loft-Attached Garage-Outdoor Space-Radiant Floors-,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-penthouse-loft/7206534129.html,6500,2,2010.0,SOMA / south beach,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"Steps to MUNI, Golden Gate Park,2 br/2 baths, garage, free laundry",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-steps-to-muni-golden-gate/7196883609.html,3000,2,,inner sunset / UCSF,2Ba,"['application fee details: $30 for credit + background check', 'flat', 'laundry in bldg', 'listed by: Compass 02005756', 'no smoking', 'attached garage']"
Oct  1,"Roof deck, bright 2 br/2 bath in amazing location & building",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-roof-deck-bright-2-br-2/7199156784.html,3500,2,1011.0,potrero hill,2Ba,"['application fee details: $30 for credit + background check', 'cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'listed by: Compass 02005756', 'no smoking', 'attached garage']"
Oct  1,"Surfers paradise, huge yard, parking, storage, laundry, bright/updated",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-surfers-paradise-huge/7199862284.html,4495,3,1400.0,sunset / parkside,2Ba,"['application fee details: $30 for credit + background check', 'cats are OK - purrr', 'dogs are OK - wooof', 'flat', 'laundry in bldg', 'listed by: Compass 02005756', 'no smoking', 'off-street parking']"
Oct  1,"Amazing/quiet location, 100% brand new, private deck, w/d",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-amazing-quiet-location/7202173289.html,4000,2,,castro / upper market,1Ba,"['application fee details: $30 for credit + background check', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'listed by: Compass 02005756', 'no smoking', 'no parking']"
Oct  1,"Amazing Sunset studio, private and quiet, outdoor space and w/d",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-amazing-sunset-studio/7202172575.html,1695,,,sunset / parkside,1Ba,"['application fee details: $30 for credit + background check', 'apartment', 'laundry in bldg', 'listed by: Compass 02005756', 'no smoking', 'street parking']"
Oct  1,"Top floor unit, shared yard,  3-4 bedrooms, 2 full baths, w/d",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-unit-shared/7203853283.html,4000,4,,inner richmond,2Ba,"['application fee details: $30 for credit + background check', 'apartment', 'w/d in unit', 'listed by: Compass 02005756', 'no smoking', 'street parking']"
Oct  1,"Top floor unit, shared yard,  3-4 bedrooms, 2 full baths, w/d",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-unit-shared/7203852984.html,4000,4,,inner richmond,2Ba,"['application fee details: $30 for credit + background check', 'apartment', 'w/d in unit', 'listed by: Compass 02005756', 'no smoking', 'street parking']"
Oct  1,Great Location! - Rent Includes Water & Garbage & Laundry!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-location-rent/7203048834.html,2800,1,700.0,north beach / telegraph hill,1Ba,"['application fee details: $25 per person for rental application fee', 'cats are OK - purrr', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,Great Location! - Rent Includes Water & Garbage & Laundry!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-location-rent/7203049118.html,2600,1,800.0,north beach / telegraph hill,1Ba,"['application fee details: $25 per person for rental application fee', 'cats are OK - purrr', 'apartment', 'w/d in unit', 'no parking']"
Oct  1,Remodeled rent controlled apt with a pool view! ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-rent-controlled/7206533735.html,3495,2,,potrero hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking']"
Oct  1,Great Location! - 2 Weeks Free Rent!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-location-2-weeks/7203048651.html,5400,3,2000.0,San Francisco,2Ba,"['application fee details: $25 per person for rental application fee', 'apartment', 'w/d in unit', 'no smoking', 'no parking']"
Oct  1,Great Location! - Rent Includes Water & Garbage & Laundry!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-location-rent/7203048497.html,2950,1,600.0,lower haight,1Ba,"['application fee details: $25 per person for rental application fee', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no parking']"
Oct  1,"Patio/garage/laundry! NOPA - steps to Golden Gate Park - dining, shops",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-patio-garage-laundry-nopa/7199474071.html,4000,2,,alamo square / nopa,splitBa,"['application fee details: $30 for credit + background check', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'listed by: Compass 02005756', 'no smoking', 'attached garage']"
