price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
4100,5.0,1000.0,2.0,1.0,2,3,0,0
4750,1.0,1500.0,3.0,2.0,1,3,0,2
4536,9.0,914.0,2.0,1.0,2,3,0,3
3775,7.0,1000.0,1.0,1.0,1,0,0,3
5695,9.0,1965.0,4.0,2.0,1,1,0,0
4495,9.0,1400.0,4.0,1.0,2,3,0,0
3295,7.0,850.0,1.0,1.0,1,1,0,3
3000,7.0,950.0,1.0,1.0,1,0,0,1
3295,7.0,800.0,1.0,1.0,1,0,0,3
3150,8.0,920.0,1.0,1.0,1,0,0,3
3550,8.0,1200.0,3.0,1.5,2,0,0,0
3450,8.0,950.0,2.0,2.0,1,0,0,3
2850,2.0,800.0,2.0,1.0,0,0,0,3
2500,5.0,650.0,1.0,1.0,1,0,0,3
3950,8.0,985.0,1.0,1.0,2,0,0,3
4695,10.0,1850.0,4.0,2.5,2,0,3,3
2995,9.0,700.0,1.0,1.0,1,0,0,3
7400,7.0,2208.0,5.0,2.0,2,3,0,0
2795,8.0,950.0,1.0,1.0,1,3,0,0
7995,7.0,3000.0,2.0,2.0,1,3,0,0
2882,8.0,796.0,1.0,1.0,2,3,0,3
3800,2.0,1350.0,3.0,2.0,1,0,0,0
2137,8.0,480.0,2.0,1.0,1,3,0,0
2900,7.0,1000.0,2.0,1.0,1,0,0,0
4000,9.0,1700.0,3.0,2.0,2,0,0,3
2350,1.0,525.0,1.0,1.0,1,0,0,3
3500,2.0,1375.0,2.0,2.0,2,0,3,3
1950,8.0,700.0,0.0,1.0,0,0,0,0
2650,8.0,650.0,1.0,1.0,0,1,0,0
2450,7.0,700.0,1.0,1.0,1,0,0,0
3250,9.0,833.0,2.0,1.0,2,3,0,3
2975,7.0,750.0,2.0,1.0,1,0,0,3
2975,8.0,880.0,2.0,1.0,0,3,0,0
6100,7.0,2000.0,3.0,2.0,1,0,0,0
4800,9.0,2106.0,3.0,2.5,2,3,0,3
3500,8.0,1000.0,2.0,1.0,1,0,0,0
1950,2.0,600.0,1.0,1.0,1,0,1,0
5915,8.0,1783.0,3.0,3.0,2,3,0,0
1699,1.0,525.0,1.0,1.0,0,0,1,0
3995,5.0,1000.0,2.0,2.0,2,1,0,3
3943,10.0,1452.0,3.0,2.5,0,0,0,0
2905,10.0,981.0,2.0,2.0,2,3,0,3
3899,9.0,1102.0,2.0,2.0,2,3,0,0
3000,1.0,800.0,1.0,1.0,0,1,0,1
2800,7.0,950.0,2.0,1.0,1,0,0,0
2992,9.0,837.0,1.0,1.0,2,3,0,3
4991,9.0,912.0,2.0,2.0,0,0,0,0
2750,9.0,627.0,1.0,1.0,2,1,0,0
2850,7.0,800.0,1.0,1.0,1,0,0,0
2100,7.0,550.0,0.0,1.0,0,0,0,0
3595,7.0,1000.0,2.0,1.0,1,0,0,0
2685,8.0,596.0,1.0,1.0,2,3,0,3
1775,2.0,320.0,0.0,1.0,1,0,0,0
1795,8.0,450.0,0.0,1.0,1,3,0,0
1800,8.0,500.0,0.0,1.0,1,0,0,0
3500,9.0,700.0,2.0,2.0,1,3,0,0
1700,9.0,307.0,1.0,1.0,1,0,0,0
2395,5.0,700.0,1.0,1.0,0,0,0,0
2565,9.0,303.0,0.0,1.0,1,0,0,0
5100,8.0,1250.0,3.0,1.0,0,0,0,0
4995,6.0,1236.0,3.0,2.0,2,2,0,3
3150,9.0,800.0,1.0,1.0,1,0,0,3
3050,9.0,720.0,2.0,1.0,2,1,3,0
3000,4.0,744.0,1.0,1.0,1,3,0,2
3995,9.0,933.0,2.0,2.0,2,3,0,0
2700,9.0,900.0,3.0,1.0,0,1,0,0
4500,9.0,1250.0,2.0,2.0,2,0,0,2
2815,6.0,621.0,1.0,1.0,2,3,0,3
3995,9.0,860.0,2.0,1.0,2,3,0,0
2800,6.0,700.0,2.0,1.0,1,0,0,3
2790,8.0,548.0,2.0,1.0,1,0,0,0
2594,7.0,850.0,1.0,1.0,1,1,0,3
2050,1.0,500.0,0.0,1.0,0,0,0,0
1600,6.0,289.0,0.0,1.0,0,0,0,0
5000,5.0,1600.0,3.0,2.0,2,0,0,0
9100,4.0,3200.0,5.0,3.0,2,0,3,0
9000,8.0,2588.0,2.0,2.5,2,0,0,3
3195,5.0,897.0,1.0,1.0,1,1,0,3
2950,9.0,550.0,1.0,1.0,2,0,0,3
2800,8.0,600.0,1.0,1.0,2,3,0,3
4495,5.0,1500.0,3.0,2.0,1,3,0,3
3995,5.0,1400.0,3.0,1.5,0,1,0,0
3400,10.0,1700.0,3.0,2.0,1,0,0,3
4995,8.0,1500.0,4.0,2.0,1,0,0,0
2700,1.0,717.0,1.0,1.0,0,0,0,0
3250,9.0,901.0,1.0,2.0,2,3,0,3
6800,8.0,1350.0,3.0,1.0,1,1,0,0
2500,8.0,350.0,0.0,1.0,0,0,0,0
2950,8.0,760.0,1.0,1.0,2,3,0,3
4800,9.0,1050.0,3.0,3.0,2,3,0,0
3300,9.0,724.0,1.0,1.0,2,3,0,3
2900,5.0,650.0,1.0,1.0,1,3,0,0
3500,9.0,780.0,1.0,1.0,2,3,0,3
3300,6.0,955.0,1.0,1.0,1,3,0,3
4500,8.0,1300.0,2.0,2.0,1,3,0,3
4305,8.0,1365.0,3.0,2.5,2,3,0,0
4495,7.0,1300.0,2.0,2.0,1,1,0,3
3549,9.0,790.0,1.0,1.0,2,3,0,0
4300,10.0,1600.0,3.0,2.0,1,3,0,3
2099,1.0,525.0,0.0,1.0,1,3,0,0
1600,8.0,410.0,0.0,1.0,1,0,0,0
4675,7.0,1110.0,2.0,1.0,2,0,0,3
2517,9.0,370.0,0.0,1.0,1,3,0,0
2900,9.0,558.0,1.0,1.0,2,0,0,0
2995,9.0,609.0,1.0,1.0,1,0,0,3
6999,7.0,1925.0,5.0,2.0,2,1,0,0
3090,9.0,4500.0,0.0,1.0,1,0,0,1
4900,9.0,1303.0,3.0,1.0,2,3,0,0
2880,1.0,750.0,2.0,1.0,2,2,0,0
2995,9.0,670.0,1.0,1.0,2,1,0,0
3590,9.0,6360.0,1.0,1.0,1,3,0,1
4500,8.0,1450.0,2.0,2.0,1,3,0,3
4500,8.0,1450.0,2.0,2.0,1,3,0,3
4890,6.0,9800.0,2.0,2.0,2,3,0,1
3990,9.0,500.0,1.0,1.0,2,3,0,3
2300,10.0,600.0,1.0,1.0,1,0,0,0
3290,8.0,5200.0,0.0,1.0,1,0,0,1
3690,9.0,5880.0,1.0,1.0,2,3,0,0
5590,9.0,9330.0,2.0,2.0,2,3,0,1
2890,9.0,4250.0,0.0,1.0,2,0,0,0
7500,9.0,2500.0,6.0,2.5,2,0,0,0
3190,8.0,7500.0,1.0,1.0,2,3,0,1
4990,7.0,9250.0,2.0,2.0,1,3,0,1
2590,5.0,6000.0,1.0,1.0,2,0,0,1
2690,8.0,4970.0,0.0,1.0,1,0,0,1
3290,9.0,4900.0,0.0,1.0,2,3,0,1
4290,9.0,9330.0,2.0,2.0,2,3,0,1
2890,9.0,4860.0,0.0,1.0,2,3,0,1
3290,9.0,486.0,0.0,1.0,2,3,0,3
3190,8.0,6500.0,1.0,1.0,2,0,0,1
3090,9.0,470.0,0.0,1.0,2,3,0,3
3090,9.0,4700.0,0.0,1.0,2,3,0,1
5290,9.0,1442.0,2.0,2.0,2,3,0,3
5690,9.0,10430.0,2.0,2.0,2,3,0,1
3995,8.0,1072.0,2.0,2.0,1,0,0,3
2490,9.0,4600.0,0.0,1.0,2,3,0,1
2790,9.0,4600.0,0.0,1.0,1,3,0,1
2990,9.0,640.0,1.0,1.0,2,3,0,3
3690,6.0,4500.0,0.0,1.0,2,3,0,1
2790,9.0,588.0,1.0,1.0,2,3,0,3
4590,8.0,1050.0,2.0,1.0,2,3,0,3
4790,9.0,1043.0,2.0,2.0,2,3,0,3
2890,8.0,4800.0,0.0,1.0,1,0,0,1
2490,8.0,4800.0,0.0,1.0,1,0,0,1
5790,9.0,1376.0,2.0,2.0,2,3,0,3
3990,9.0,845.0,1.0,1.0,2,3,0,3
3490,9.0,4500.0,0.0,1.0,1,0,0,0
3290,6.0,5500.0,0.0,1.0,2,3,0,1
2390,6.0,4600.0,0.0,1.0,2,3,0,0
1990,8.0,4160.0,0.0,1.0,1,3,0,0
2890,9.0,486.0,0.0,1.0,2,3,0,3
3990,9.0,7200.0,1.0,1.0,2,3,0,1
5690,9.0,11020.0,2.0,2.0,2,3,0,1
2690,6.0,4600.0,0.0,1.0,2,3,0,0
3690,9.0,11000.0,2.0,2.0,1,0,0,1
